,Плановая дата чтения,Фактическая дата чтения,Статья,Комментарий,YouTube к комментарию
85,NA,2019-05-22,[Hip Dislocation](https://coreem.net/core/hip-dislocation/),"Почитал всякие увлекательные техники вправления задних и передних вывихов, сроки, риски, тактику с учетом сопутствующих повреждений, иммобилизацию, сравнение с вывихами в протезе, посмотрел видосы. В конце статьи ссылки на другие статьи (в том числе, кстати, на OrthoBullets) — не читал. А еще оказалось, что в [Радиопидии](https://radiopaedia.org/encyclopaedia/cases/all) — в данный момент 32,735 бесплатных, без регистрации и смс случаев со снимками и скроллабельными томограммками, причем из них 1,273 — по травме и еще 1,337 — по позвоночнику. Нужно будет воспользоваться. А также я вспомнил про увлекательный [канал Ларри Меллика](https://www.youtube.com/user/lmellick), профессора кафедр скорой помощи и педиатрии. Также нужно будет присосаться.",[hip dislocation](https://youtube.com/search?q=hip+dislocation)
86,2019-05-30,,[Pediatric Septic Hip],,
87,,,Finger Injuries,,
88,,,Olecranon Fractures,,
89,NA,2019-05-27,[Non-Traumatic Low Back Pain](https://coreem.net/core/non-traumatic-low-back-pain/),"По сути, про красные флаги (онко, каудопатия, инфекция, гематома) и тактику раннего возвращения к обычной жизни при их отсутствии, а также про невертебральный дифдиагноз боли в спине. Приятно встретить знакомый алгоритм Эдлау 2015. По ссылкам не ходил, на Ютьюбе видосы по выдаче пролистал, но не смотрел.",[low back pain emergency](https://youtube.com/search?q=low+back+pain+emergency)
90,,,Distal Radius Fractures,,
91,,,Scaphoid Fractures,,
92,,,Calcaneus Fractures,,
93,NA,2019-05-19,"[Ankle Stress Views: Why, When + What](https://coreem.net/core/ankle-stress-views/) ","Отлично, кажется, я впервые, наконец освоил главные связки голеностопа и механизмы травмы голеностопа. Йу-ху! [Видео из статьи](https://vimeo.com/175692273) посмотрел плюс Ютьюбчик посмотрел также.",[mortise view](https://youtube.com/search?q=mortise+view)
94,,,Shoulder Dislocation,,
95,,,True Knee + Patellar Dislocations,,
96,,,Elbow Dislocation,,
97,,,Proximal Humerus Fracture,,
98,,,Clavicle Fractures,,
99,NA,2019-05-27,[Acromioclavicular (AC) Joint Injuries](https://coreem.net/core/ac-joint-injuries/),"Перешел я по ссылке на [обследование плечевого сустава на OrthoBullets](https://www.orthobullets.com/sports/3037/shoulder-exam) и понял, что там — непаханный огород. Но это не сейчас уже. И вообще назрело уже перечитать, пересмотреть уже прочитанное. Классификация Роквуда, потребность в иммобилизации и хирургии. По ссылкам не читал, на Ютьюбе выдачу посмотрел, но видео не смотрел.",[ac injury orthopedic](https://youtube.com/search?q=ac+injury+orthopedic)
100,,,Approach to Traumatic Shoulder Pain,,
101,,,Lunate Dislocation,,
102,,,Cauda Equina Syndrome,,
103,,,Approach to Adult First Time Seizure in the ED,,
104,,,Spinal Epidural Hematoma,,
105,,,Cerebral Venous Thrombosis,,
106,,,Post-Dural Puncture Headache,,
107,,,Spinal Epidural Abscess,,
108,,,Vertebral Osteomyelitis,,
109,NA,2019-05-27,[Post-Partum Hemorrhage](https://coreem.net/core/post-partum-hemorrhage/),"Вспомнил причины послеродовых кровотечений и узнал, какие варианты тампонады полости матки, а также про массаж, транексам и другие препараты при _топкой матке_. Дозировки сейчас на фиг. По ссылкам не ходил, на Ютьюбе выдачу проверил, но видосы не смотрел.",[uterine atony](https://youtube.com/search?q=uterine+atony)
110,,,Preeclampsia and Eclampsia,,
111,,,Ectopic Pregnancy,,
112,,,Utility of Anti-D Immunoglobulin(Rho Gam) During First Trimester Pregnancy,,
113,,,Vaginal Bleeding,,
114,,,Ovarian Torsion,,
115,,,Peri-Mortem C-Section,,
116,,,Shoulder Dystocia,,
117,,,Infections in Pregnancy,,
118,,,The Critically Ill Infant,,
119,,,Bronchiolitis,,
120,,,Intussusception,,
121,,,Febrile Seizures,,
122,,,Pediatric Femur Fractures,,
123,,,Button Battery Ingestion,,
124,,,Croup (Laryngotracheobronchitis),,
125,,,Pediatric Supracondylar Fractures,,
126,,,Slipped Capital Femoral Epiphysis (SCFE),,
127,,,Pediatric Septic Hip,,
128,NA,NA,~~Apparent Life-Threatening Event (ALTE)~~ ,"Дублирует, см. выше.",—
129,,,Acute Otitis Media,,
130,,,Priapism,,
131,,,Ureteral Colic,,
132,,,Testicular Torsion,,
133,,,Suture Materials,,
134,,,Cellulitis,,
135,,,Updates in Community Acquired Pneumonia (CAP) Treatment,,
136,,,Septic Arthritis,,
137,2019-05-30,,[Herpes Zoster],,
138,,,Antibiotic Sensitivity Overview,,
139,,,Ebola Hemorrhagic Fever,,
140,NA,2019-05-22,[Bronchiolitis](https://coreem.net/core/bronchiolitis/),"Оказывается, такой бронхиолит еще у детей бывает. Что-то чересчур много впервые узнаю. Ютьюб не смотрел. Голова уже плохо варит, нужно будет перечитывать.",[bronchiolitis](https://youtube.com/bronchiolitis)
141,,,Routine Admission CXR (RACXR),,
142,,,Hemodynamically Unstable Pulmonary Embolism,,
143,,,Supplemental O2 in COPD Exacerbation,,
144,,,Life-Threatening Asthma,,
145,,,Basic Asthma Management,,
146,,,Acetaminophen Toxicity,,
147,,,Wernicke Encephalopathy,,
148,,,Salicylate Toxicity (Salicylism),,
149,,,Button Battery Ingestion,,
150,,,Tricyclic Antidepressant Toxicity,,
151,,,Methemoglobinemia,,
152,,,Local Anesthetic Systemic Toxicity (LAST),,
153,,,Intrathecal Baclofen Withdrawal,,
154,,,Methamphetamine Intoxication,,
155,,,Parenteral Benzodiazepines,,
156,,,Orogastric Lavage,,
157,,,Hyperinsulinemia Euglycemia Therapy (HIET) for Beta Blocker and Calcium Channel Blocker Toxicity,,
158,,,Le Fort Fractures,,
159,,,Pediatric Femur Fractures,,
160,,,Sacral Fractures,,
161,,,Traumatic Arthrotomy,,
162,NA,2019-05-25,[Scapula Fractures](https://coreem.net/core/scapula-fractures/),"Оказывается, переломы лопатки — на самом деле сборная категория, и фактически нужно говорить о переломах тела, гленоида, акромиона, коракоида (кстати, о классификации: типы идут _в обратном_ порядке по сравнению с переломами зуба), ости… Сложил первое представление о структуре этих переломов и сопутствующей травмы, о классификации Айдберга, о тактике и о доступах, о соотношении с ТЭП плечевого сустава, а также теперь мне известны шкала DASH (0 — лучше) и шкала Консента (100 — лучше). Ссылки из статьи не читал, пару видосов с Ютьюба посмотрел.",[scapula fracture](https://youtube.com/search?q=scapula+fracture)
163,,,Femoral Shaft Fractures,,
164,,,Penetrating Neck Injuries,,
165,,,Facial Fractures,,
166,,,Femoral Neck Fractures,,
167,,,Pediatric Supracondylar Fractures,,
168,,,Initial Trauma Assessment,,
169,,,Ankle Fractures,,
170,,,Tibial Plateau Fractures,,
171,,,Traumatic Hemothorax,,
172,,,Radial Head Fracture,,
173,,,C-Spine Injuries + CT Interpretation,,
174,,,Open Fractures,,
175,,,The ABCS of Reading C-Spine CTs,,
176,,,Compartment Syndrome,,
177,,,Ocular Ultrasound,,
178,NA,2019-05-21,[Common Forearm Nerve Blocks](https://coreem.net/core/common-forearm-nerve-blocks/),"Вспомнил основную анатомию предплечья. Впервые вообще посмотрел на блокады предплечья и впервые на блокады предплечья под УЗИ, плюс показания узнал. Посмотрел и видосы с подкастами из статьи, и несколько с Ютьюба.",[forearm nerve block](https://youtube.com/search?q=forearm+nerve+block)
179,,,Ultrasound Guided Pericardiocentesis,,
